Year	Quarter 1	Quarter 2	Quarter 3	Quarter 4
1978	2.90%	3.07%	3.39%	5.89%
1979	3.81%	4.32%	4.75%	6.19%
1980	5.54%	2.36%	3.79%	5.32%
1981	2.96%	4.23%	3.21%	5.29%
1982	2.49%	2.07%	1.52%	3.04%
1983	1.75%	2.54%	2.96%	5.31%
1984	3.35%	3.16%	2.46%	4.21%
1985	2.08%	2.60%	2.39%	3.73%
1986	2.03%	1.96%	1.50%	2.57%
1987	1.83%	1.19%	2.09%	2.67%
1988	1.84%	2%	2.39%	3.07%
1989	1.75%	2%	2.05%	1.75%
1990	1.38%	1.52%	0.84%	-1.43%
1991	0.05%	0.01%	-0.33%	-5.33%
1992	-0.03%	-1.03%	-0.44%	-2.81%
1993	0.77%	-0.24%	1.10%	-0.25%
1994	1.31%	1.54%	1.51%	1.88%
1995	2.11%	2.08%	2.06%	1.09%
1996	2.40%	2.29%	2.63%	2.61%
1997	2.34%	2.82%	3.38%	4.71%
1998	4.14%	4.19%	3.46%	3.55%
1999	2.59%	2.62%	2.81%	2.89%
2000	2.40%	3.05%	2.94%	3.33%
2001	2.36%	2.47%	1.60%	0.67%
2002	1.51%	1.61%	1.79%	1.67%
2003	1.88%	2.09%	1.97%	2.76%
2004	2.56%	3.13%	3.42%	4.66%
2005	3.51%	5.34%	4.44%	5.43%
2006	3.62%	4.01%	3.51%	4.51%
2007	3.62%	4.59%	3.56%	3.21%
2008	1.60%	0.56%	-0.17%	-8.29%
2009	-7.33%	-5.20%	-3.32%	-2.11%
2010	0.76%	3.31%	3.86%	4.62%
2011	3.36%	3.94%	3.30%	2.96%
2012	2.59%	2.68%	2.34%	2.54%
2013	2.57%	2.87%	2.59%	2.53%
2014	2.74%	2.91%	2.63%	3.04%
2015	3.57%	3.14%	3.09%	
